-zheksenov-,-
Respect2D,int to ll
resting_prince,invalid input
retRet,-
Riccccchard,continue on condition
Rifat448,-
risengo,int to ll
ritik_patel05,-
riyasaat,accidental infinite loop
rkasp,-
Rm6,int to ll
Robis2019,-
Rods,-
RogerD,-
rogerpatel_2401,wrong variable name
Rokham,int to ll
Royhero,-
ruchit_vithani,int to ll
rvsmr,-
ryorda,-
SaikatS,-
Saiphani724,-
Saket1612,-
sakhiya07,-
saksham__27,reordering
sakshi1811,-
san1201,Extra condition
SandInMyHand,-
Sanket17,-
sanyam.ss99,-
saumya_shah,-
Scissors_Ss,-
sdpsarker88,-
Seremo,-
Seyn,int to ll
sgupta98,-
shadowoneZeroone,int to ll
shahkushal9148,int to ll
shankamboj,-
shanto_kundu,-
shbhmgl,-
shell_wataru,remove unwanted prints
shenji,int to ll
sherifmowafy_,int to ll
shixuan,-
Shtubik,-
shy1314,-
sifat_15,-
Sintac,-
sj144,-
sjd0,-
sky666,-
SMit_mangukiya,Extra condition
sneffort,int to ll
soapy_bubble,-
Sofianelewin,vector to list
spop,-
squidward,-
starbis,int to ll
Strive9881,-
subtask,Array size increased
sunhy,int to ll
sushant3524,-
Suzukaze_Kiseki,-
s_kill,-
TamimEhsan,-
tamtam,int to ll
tasnidmahin,-
Tathagat_shah,-
teexone,-
The_Lost_Desu,wrong variable name
Tiagodsf,-
tim.1758,-
tiojuan,-
TJPU_Hank,-
tony29699,-
toted,-
trancaothaix4,-
ttw1018,-
tuna_fly,-
tushar_nstu,-
twtynije1,-
uday_dosajh,-
udc321,added continue
ujjk29,-
umangughareja111,-
unknown_28,-
utkarsh4430,-
UWPLP,-
vardisperi_spilo_69,-
vcq,int to ll
vdpatel41298,-
vedantagrawal,if else exchange
vhosc,cin to getchar
Vimmer,-
viniciustht,-
vipghn2003,-
vishal_2504,-
VivekRamnani,-
vjudge1,INVALID ACCOUNT
vjudge4,INVALID ACCOUNT
vk16,-
vss16996,-
Vwsrenzk_ZC,int to ll
wanglong306,-
wangtao971115,-
wangXP,-
wasimkiwan23,-
WaterSpellbinder,-
WA_King,-
weedgrammer,-
wentwrong,-
Why_not,-
William_Yue,int to ll
WindCry1,vector to list
Wish_Performer,-
wn349652743,-
woodline23xx,-
wujiayi,removed unwanted header files
xenowitz,-
xish,int to ll
XpqX,-
XRDS-BJFU101,-
XUANSE,-
xunzf,-
xzxxzx401,-
Yakudza,-
YangJ,-
YaoYaoLe,-
Yincircle,-
yorker,int to ll
Yousry,-
ysl1311,-
yuyi2009,-
yzzupup,-
z7z_Eta,-
Zabiyaka,int to ll
zeegomo,unordered map to map
zekun,-
zeus_iitg,Policy based data structures in g++
zeyady98,initialize variable
ZimakOleg,-
zzidun,-